country,category,brand_name,wikidata_id,opening_rule,opening_hours,osm_additional_tags,description,source_url,opening_hours_url
FR,car_rental,Sixt,Q705664,open,,,,https://www.sixt.fr/magazine/actualites/informations-actuelles-voyages/,
FR,car_rental,Ucar,,open_adapted,,,,https://ucar.fr/Portals/_default/Skins/Ucar/Images/Engagement_UCAR_COVID19.pdf,
FR,car_repair,AD,Q18697078,partial,,,,https://www.autodistribution.fr/,https://www.autodistribution.fr/magasins-pieces-auto
FR,car_repair,Autodistribution,Q18697078,partial,,,,https://www.autodistribution.fr/,https://www.autodistribution.fr/magasins-pieces-auto
FR,car_repair,BestDrive,Q63057183,open_adapted,,,Sur rendez-vous uniquement,https://bestdrive.fr/infos/covid-19.html,https://bestdrive.fr/infos/covid-19.html#map
FR,car_repair,Carglass,Q1035997,partial,,,Sur rendez-vous uniquement dans un nombre restreint de centres,https://www.carglass.fr/prise-de-rendez-vous,
FR,car_repair,Citroën,Q6746,closed,,,Contact par téléphone possible,https://www.citroen.fr/covid-19.html,
FR,car_repair,Étape Auto,,open_adapted,,,"Réservé aux véhicules d’urgences, personnel hospitalier et fonctions vitales",https://www.etape-auto.fr/site-Etape_Auto-operation-8159-Vehicules-prioritaires.html,
FR,car_repair,Euromaster,Q3060668,open_adapted,,,,https://www.euromaster.fr/particulier,https://www.euromaster.fr/particulier/liste-centres-service-minimum
FR,car_repair,Feu Vert,Q3070922,open_adapted,,,,https://www.feuvert.fr/static/informations-covid19-16253.html,https://www.feuvert.fr/static/centres-auto-feu-vert-ouverts-pendant-confinement-16239.html
FR,car_repair,Ford,Q44294,open,,,,https://www.ford.fr/,
FR,car_repair,France Pare-Brise,,open_adapted,,,,https://www.franceparebrise.fr/,https://prive.franceparebrise.fr/covid19/
FR,car_repair,Midas,Q3312613,open,,,,https://www.midas.fr/purchase-guides/midas-connect,
FR,car_repair,Norauto,Q3317698,open,,,,https://www.norauto.fr/,
FR,car_repair,Peugeot,Q6742,closed,,,"Réparation urgentes possibles, contacter par téléphone",https://www.peugeot.fr/covid-19.html,
FR,car_repair,Point S,Q3393358,open,,,,https://www.points.fr/,
FR,car_repair,Renault,Q6686,open_adapted,,,,https://www.renault.fr/,
FR,car_repair,Garage Renault,Q6686,open_adapted,,,,https://www.renault.fr/,
FR,car_repair,Roady,Q3434112,open,,,,https://www.roady.fr/,
FR,car_repair,Speedy,Q3492969,open_adapted,,,,https://www.speedy.fr/,
FR,car_repair,Volkswagen,Q246,open,,,,https://www.volkswagen.fr/fr/specials/covid-19-informations-clients.html,
FR,car_repair,Vulco,Q80184403,open,,,,https://www.facebook.com/vulcofrance/,
FR,chocolate,Jeff de Bruges,Q3176626,partial,,,,https://twitter.com/Jeff_de_Bruges/status/1240648143517224961,https://magasins.jeff-de-bruges.com/
FR,chocolate,Leonidas,Q80335,open_adapted,,,,https://www.leonidas.com/fr_fr/,https://www.leonidas.com/fr_fr/boutiques
FR,clothes,Cache Cache,Q63064086,open_adapted,,,,https://www.cache-cache.fr/faq-ouverture-magasins-l,https://www.cache-cache.fr/magasins
FR,clothes,Camaïeu,Q2934647,open,,,,https://www.camaieu.fr/content/la-marque/nos-actualites/articles,
FR,clothes,Celio,Q2672003,open,,,,https://www.facebook.com/celiofrance/posts/3261295267236173,
FR,clothes,Etam,Q3059202,open_adapted,,,,https://www.etam.com/,
FR,clothes,Gémo,Q3122954,open,,"{ ""drive_through:covid19"": ""yes"" }",,https://www.gemo.fr/,
FR,clothes,Grain de Malice,Q66757157,open,,,,https://www.graindemalice.fr,
FR,clothes,Jules,Q3188386,open,,,,,https://www.jules.com/fr-fr/recherche-magasins/
FR,clothes,Kiabi,Q3196299,open_adapted,,"{ ""safety:covid19"": ""mask"" }",Certains services non disponibles en magasin,https://www.kiabi.com/services/ensemble-en-securite.html,
FR,clothes,Sergent Major,Q62521738,open_adapted,,,,https://www.sergent-major.com/,
FR,computer,LDLC,Q3117461,partial,,,,https://www.ldlc.com/aide/219-informations-covid-19/,https://www.ldlc.com/magasins-ldlc/
FR,doityourself,Brico,Q2510786,open,,,,https://www.brico.be/fr,
FR,doityourself,Brico Dépôt,Q2889702,open_adapted,,,,https://www.bricodepot.fr/catalogue/ouverture-coronavirus/,https://www.bricodepot.fr/catalogue/infos-depots-coronavirus/
FR,doityourself,Brico Pro,,open,,,,https://www.bricopro.fr/,
FR,doityourself,Bricoman,Q2925142,open,,,,https://www.bricoman.fr/reouverture,
FR,doityourself,Bricomarché,Q2925147,open,,,Retrait click & collect uniquement,https://www.bricomarche.com/magasins-ouverts-click-and-collect-sans-contact,https://www.bricomarche.com/magasins-ouverts-click-and-collect-sans-contact
FR,doityourself,Bricorama,Q2925146,open_adapted,,"{ ""drive_through:covid19"": ""yes"", ""access:covid19"": ""no"" }",,https://www.bricorama.fr/retrait-covid,https://www.bricorama.fr/retrait-covid
FR,doityourself,Castorama,Q966971,open_adapted,,"{ ""drive_through:covid19"": ""yes"", ""access:covid19"": ""no"" }",,https://www.castorama.fr/,https://www.castorama.fr/reouverture-magasins-libre-service
FR,doityourself,Chausson Matériaux,,open_adapted,,,,https://www.chausson-materiaux.fr/,
FR,doityourself,Gedimat,,open_adapted,,,,https://www.gedimat.fr/,
FR,doityourself,Lapeyre,Q3117467,open,,,,https://www.facebook.com/Lapeyre/,
FR,doityourself,Leroy Merlin,Q889624,partial,,"{ ""drive_through:covid19"": ""yes"", ""delivery:covid19"": ""yes"" } ",Réouverture progressive du libre-service en magasin,https://www.leroymerlin.fr/services/nos-services-en-magasin-pendant-confinement/,https://www.leroymerlin.fr/magasins/trouver-magasin/#
FR,doityourself,Mr Bricolage,Q3141657,open_adapted,,,,https://www.mr-bricolage.fr/recommandations-covid19-c.html,
FR,doityourself,Point P,Q62973104,partial,,,,https://www.pointp.fr/info-covid-19-clients-professionnels,https://www.pointp.fr/info-covid-19-clients-professionnels
FR,doityourself,Queguiner Matériaux,Q3414861,open_adapted,,"{ ""drive_through:covid19"": ""yes"", ""access:covid19"": ""no"" }",Récupération de commandes uniquement,https://www.groupe-queguiner.fr/actualites/information-covid-19/,
